date,OPEN,MAX,MIN,CLOSE,VOLUME,CAP,DURATION,YIELD
01 09 17,446.67,448.09,446.67,448.07,28 391 317 509,4 366 996 584 025.84,1 852,7.74
04 09 17,448.43,448.99,448.29,448.53,2 587 479 453,4 371 562 840 506.11,1 842,7.73
05 09 17,448.54,449.25,448.35,449.25,33 347 829 051,4 378 574 763 161.74,1 841,7.69
06 09 17,449.44,451.13,449.44,451.11,28 028 433 538,4 396 785 684 000.14,1 845,7.62
07 09 17,451.13,451.72,451.06,451.64,22 608 858 531,4 401 938 268 695.76,1 844,7.60
08 09 17,451.67,451.90,451.57,451.71,14 129 076 447,4 402 663 631 670.27,1 844,7.60
11 09 17,451.90,451.98,451.65,451.87,5 467 392 279,4 404 327 282 475.97,1 840,7.61
12 09 17,451.94,452.04,451.60,451.61,11 778 006 045,4 401 745 209 878.05,1 839,7.62
13 09 17,451.78,451.98,451.44,451.62,19 142 252 923,4 401 692 871 954.89,1 837,7.62
14 09 17,451.79,452.12,451.73,451.92,20 344 740 089,4 404 643 675 672.22,1 836,7.61
15 09 17,451.88,452.18,451.56,452.18,28 519 661 934,4 407 203 474 770.59,1 836,7.61
18 09 17,452.50,452.85,452.06,452.06,16 964 050 175,4 406 028 180 601.62,1 831,7.61
19 09 17,452.11,452.20,451.75,451.80,11 049 384 596,4 403 391 120 715.08,1 829,7.63
20 09 17,451.88,452.41,451.81,452.38,10 174 714 726,4 408 976 214 331.53,1 830,7.61
21 09 17,452.55,452.94,452.12,452.17,10 129 179 814,4 407 047 043 173.95,1 827,7.62
22 09 17,452.47,452.67,452.35,452.47,7 584 194 241,4 409 960 618 518.35,1 826,7.60
25 09 17,452.85,453.59,452.53,452.53,11 975 519 443,4 410 512 343 188.84,1 822,7.60
26 09 17,452.64,452.81,451.92,451.94,19 144 091 574,4 404 790 305 554.78,1 820,7.64
27 09 17,452.05,452.15,450.45,450.56,41 023 082 953,4 377 829 159 538.31,1 824,7.72
28 09 17,450.68,451.78,450.63,451.78,38 186 373 364,4 389 816 292 002.4,1 826,7.67
29 09 17,451.65,452.63,451.49,452.44,21 146 214 242,4 396 196 056 049.32,1 826,7.63
02 10 17,452.68,452.82,452.31,452.33,14 830 052 872,4 395 089 725 173.18,1 821,7.65
03 10 17,452.37,452.71,452.25,452.30,13 312 029 329,4 394 699 842 064.04,1 820,7.66
04 10 17,452.36,453.00,452.20,452.98,24 377 955 566,4 390 720 609 597.52,1 827,7.62
05 10 17,453.02,454.04,453.02,453.99,16 992 392 197,4 400 531 232 178.19,1 828,7.57
06 10 17,454.02,454.30,453.83,453.94,15 390 110 168,4 400 001 357 531.56,1 826,7.58
09 10 17,453.95,454.45,453.46,453.84,4 417 193 391,4 399 050 117 737.48,1 822,7.59
10 10 17,453.89,454.50,453.42,454.50,18 692 279 849,4 405 410 092 975.32,1 822,7.57
11 10 17,454.55,455.47,454.45,455.35,30 720 473 159,4 396 068 311 913.38,1 836,7.53
12 10 17,455.41,456.19,455.29,456.14,36 765 755 810,4 403 646 644 944.92,1 836,7.49
13 10 17,456.24,456.99,456.21,456.99,18 866 382 000,4 411 829 585 593.82,1 836,7.45
16 10 17,457.24,457.58,457.01,457.01,26 731 390 814,4 412 111 326 295.15,1 832,7.46
17 10 17,457.19,457.22,456.39,456.49,13 579 693 099,4 407 161 142 941.31,1 830,7.49
18 10 17,456.60,457.06,456.60,457.05,41 863 757 007,4 406 778 639 002.28,1 831,7.47
19 10 17,457.10,457.16,456.85,457.16,11 434 277 918,4 407 907 072 509.21,1 830,7.47
20 10 17,457.42,457.70,456.93,457.04,22 939 729 260,4 406 835 302 364.24,1 829,7.47
23 10 17,457.27,457.47,456.92,457.31,4 873 738 741,4 409 475 163 896.35,1 826,7.48
24 10 17,457.33,457.48,457.21,457.21,15 517 622 764,4 408 487 562 810.24,1 825,7.49
25 10 17,457.32,457.40,457.10,457.18,16 116 489 625,4 399 717 708 497.7,1 827,7.49
26 10 17,457.27,457.27,456.83,457.08,14 800 104 669,4 398 739 988 551.91,1 826,7.50
27 10 17,457.20,457.34,456.30,456.30,30 940 249 471,4 391 455 941 383.47,1 824,7.55
30 10 17,456.53,457.14,456.26,457.01,11 001 342 832,4 398 210 595 314.06,1 822,7.53
31 10 17,457.11,457.27,456.84,456.85,14 172 068 329,4 396 724 216 520.65,1 821,7.54
01 11 17,457.02,457.30,456.88,457.09,17 604 636 440,4 399 000 396 241.34,1 820,7.54
02 11 17,457.21,457.44,457.21,457.23,17 843 536 545,4 400 265 110 818.82,1 819,7.53
03 11 17,457.52,457.76,457.08,457.08,12 172 397 106,4 398 994 557 899.78,1 817,7.54
07 11 17,457.41,457.66,457.26,457.41,15 667 644 037,4 402 079 615 972.09,1 814,7.55
08 11 17,457.53,457.61,456.72,456.78,22 941 407 841,4 396 153 963 821.25,1 811,7.58
09 11 17,456.76,456.92,456.47,456.87,10 278 134 504,4 396 896 631 945.36,1 809,7.57
10 11 17,456.96,457.19,456.94,456.94,29 429 920 961,4 397 523 848 142.92,1 809,7.57
13 11 17,457.18,457.32,456.25,456.25,13 897 590 280,4 390 851 841 049.43,1 803,7.61
14 11 17,456.36,456.46,455.63,455.98,14 041 489 748,4 388 180 766 156.62,1 801,7.63
15 11 17,456.07,456.22,455.75,456.22,10 301 451 710,4 379 760 453 850.39,1 822,7.63
16 11 17,456.30,456.90,456.11,456.90,22 310 853 025,4 386 391 792 731,1 822,7.60
17 11 17,457.00,457.60,456.98,457.56,9 099 892 416,4 392 802 225 331.57,1 822,7.57
20 11 17,457.84,458.06,457.65,457.71,7 628 572 226,4 394 374 058 029.67,1 818,7.57
21 11 17,457.90,458.10,457.60,457.69,7 051 600 749,4 394 247 953 790.35,1 816,7.57
22 11 17,457.80,458.45,457.79,458.44,16 696 961 500,4 401 289 355 466.54,1 817,7.54
23 11 17,458.52,459.03,458.38,458.98,21 232 813 513,4 406 247 813 744.35,1 817,7.52
24 11 17,459.08,459.22,458.94,459.12,7 411 463 342,4 407 659 235 860.94,1 816,7.52
27 11 17,459.38,459.73,459.33,459.64,6 214 735 970.52,4 481 536 669 230,1 813,7.59
28 11 17,460.24,460.29,459.76,460.09,20 497 119 704.5,4 485 894 357 780,1 813,7.57
29 11 17,460.13,460.77,460.13,460.50,17 286 632 645.8,4 489 919 715 650,1 814,7.55
30 11 17,460.58,460.58,459.97,460.31,17 029 765 994.7,4 475 050 899 310,1 813,7.56
