BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
SNDX,IMOEX,23.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1868,07","1826,87","1868,66","1811,85","47433558589,00"
SNDX,IMOEX,24.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1810,05","1868,08","1873,53","1798,73","54471301838,00"
SNDX,IMOEX,25.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1833,53","1810,02","1837,06","1808,88","36048441250,00"
SNDX,IMOEX,26.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1828,30","1833,97","1850,39","1816,58","28497751669,00"
SNDX,IMOEX,27.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1795,70","1828,32","1828,32","1790,68","30879408712,00"
SNDX,IMOEX,30.11.2015,Индекс МосБиржи,Индекс МосБиржи,"1771,05","1794,25","1807,57","1771,05","37718548385,00"
SNDX,IMOEX,01.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1772,97","1771,05","1785,29","1763,05","30147725961,00"
SNDX,IMOEX,02.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1770,13","1773,49","1793,27","1760,51","28668714824,00"
SNDX,IMOEX,03.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1787,23","1770,10","1792,38","1764,86","31739618819,00"
SNDX,IMOEX,04.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1755,22","1786,55","1798,91","1741,60","38557264636,00"
SNDX,IMOEX,07.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1741,14","1756,11","1767,34","1735,01","31536716363,00"
SNDX,IMOEX,08.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1718,77","1740,64","1741,79","1712,87","40266957457,00"
SNDX,IMOEX,09.12.2015,Индекс МосБиржи,Индекс МосБиржи,"1733,09","1719,84","1740,47","1719,44","33971507366,00"
