BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
RTSI,RTSI,10.05.2016,Индекс РТС,Индекс РТС,"897,11","905,71","910,29","886,92","478862412,00"
RTSI,RTSI,11.05.2016,Индекс РТС,Индекс РТС,"927,00","898,26","927,04","895,83","533611445,34"
RTSI,RTSI,12.05.2016,Индекс РТС,Индекс РТС,"915,95","926,97","934,63","915,95","516297334,91"
RTSI,RTSI,13.05.2016,Индекс РТС,Индекс РТС,"921,88","923,01","923,75","907,96","468014699,76"
RTSI,RTSI,16.05.2016,Индекс РТС,Индекс РТС,"929,12","920,29","942,27","918,73","485294241,35"
RTSI,RTSI,17.05.2016,Индекс РТС,Индекс РТС,"931,73","928,81","934,97","910,34","571325058,97"
RTSI,RTSI,18.05.2016,Индекс РТС,Индекс РТС,"926,82","928,04","928,04","918,12","432584883,26"
RTSI,RTSI,19.05.2016,Индекс РТС,Индекс РТС,"885,42","910,70","912,82","885,42","576372780,54"
RTSI,RTSI,20.05.2016,Индекс РТС,Индекс РТС,"893,09","896,90","902,35","886,41","460402473,17"
RTSI,RTSI,23.05.2016,Индекс РТС,Индекс РТС,"879,55","891,11","891,11","873,58","382066944,85"
RTSI,RTSI,24.05.2016,Индекс РТС,Индекс РТС,"891,48","880,92","893,43","878,13","367046464,57"
RTSI,RTSI,25.05.2016,Индекс РТС,Индекс РТС,"907,97","899,38","917,60","899,38","552011123,81"
RTSI,RTSI,26.05.2016,Индекс РТС,Индекс РТС,"918,79","916,65","934,61","914,72","630709456,49"
RTSI,RTSI,27.05.2016,Индекс РТС,Индекс РТС,"917,52","915,75","921,88","910,50","457625415,92"
RTSI,RTSI,30.05.2016,Индекс РТС,Индекс РТС,"925,51","920,07","927,45","913,95","228556928,85"
RTSI,RTSI,31.05.2016,Индекс РТС,Индекс РТС,"904,33","927,49","928,95","904,33","800996579,01"
RTSI,RTSI,01.06.2016,Индекс РТС,Индекс РТС,"890,52","897,00","901,95","884,80","495929099,41"
RTSI,RTSI,02.06.2016,Индекс РТС,Индекс РТС,"885,93","889,77","896,76","874,88","423847410,15"
RTSI,RTSI,03.06.2016,Индекс РТС,Индекс РТС,"902,64","892,28","903,70","886,46","482683964,00"
RTSI,RTSI,06.06.2016,Индекс РТС,Индекс РТС,"922,91","908,87","927,26","905,41","450466834,52"
RTSI,RTSI,07.06.2016,Индекс РТС,Индекс РТС,"948,87","925,71","948,87","922,94","615809875,59"
RTSI,RTSI,08.06.2016,Индекс РТС,Индекс РТС,"965,36","952,55","965,36","947,32","593442802,63"
RTSI,RTSI,09.06.2016,Индекс РТС,Индекс РТС,"950,86","966,56","967,58","945,02","462766988,55"
RTSI,RTSI,10.06.2016,Индекс РТС,Индекс РТС,"924,65","943,51","944,28","924,65","443728205,35"
RTSI,RTSI,14.06.2016,Индекс РТС,Индекс РТС,"900,19","916,15","918,69","891,24","617365490,43"
RTSI,RTSI,15.06.2016,Индекс РТС,Индекс РТС,"910,08","897,33","912,34","895,88","578560573,41"
RTSI,RTSI,16.06.2016,Индекс РТС,Индекс РТС,"895,00","905,41","905,75","884,83","493392940,00"
RTSI,RTSI,17.06.2016,Индекс РТС,Индекс РТС,"910,28","898,59","917,46","898,59","543387578,60"
